                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.32% (0.72%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  9.53% (1.86%) * |  3.66% (0.79%) * |  1.40% (0.40%) * |  1.34% (0.31%) * |  0.78% (0.16%) *
audiology       |     74.77% | 63.67% (4.99%) * | 45.07% (5.61%) * | 28.80% (3.21%) * | 22.22% (2.01%) * | 24.04% (1.31%) *
autos           |     67.35% | 69.50% (7.23%)   | 46.93% (3.93%) * | 34.19% (3.52%) * | 28.47% (3.02%) * | 20.73% (2.90%) *
credit-a        |     44.49% | 19.50% (1.80%) * | 13.37% (1.70%) * | 20.25% (1.63%) * | 19.48% (1.51%) * | 19.35% (1.12%) *
hypothyroid     |      7.71% |  2.87% (0.48%) * |  1.60% (0.22%) * |  0.66% (0.06%) * |  0.79% (0.10%) * |  0.61% (0.06%) *
letter          |     96.26% | 28.82% (0.51%) * | 21.48% (0.41%) * | 16.48% (0.22%) * | 13.32% (0.13%) * | 11.77% (0.22%) *
microarray      |     50.20% | 50.50% (3.46%)   | 51.99% (3.24%)   | 51.32% (2.08%)   | 47.03% (1.59%) * | 49.12% (1.76%)  
vote            |     38.63% | 13.05% (3.17%) * |  5.45% (1.86%) * |  6.77% (1.20%) * |  3.29% (0.34%) * |  5.88% (0.50%) *

